#separator:tab
#html:false
下さる	(honorific/respectful) to give, to confer, to bestow	くださる	Godan verb - -aru special class	to kindly do for one, to oblige, to favour, to favor	Honorific or respectful (sonkeigo) language					
花火	fireworks	花火[はなび]	Noun							
大工	carpenter	大工[だいく]	Noun							
将棋	shogi, Japanese chess	将棋[しょうぎ]	Noun							
研究	study, research, investigation	研究[けんきゅう]	Noun, Suru verb, Transitive verb							
工場	factory, plant, mill, workshop	工場[こうじょう]	Noun							
卒業する	graduation, completion (of a course)	卒業[そつぎょう]	Noun, Suru verb, Intransitive verb	moving on (from), outgrowing (something), leaving (a group, company, etc.), quitting						
冬	winter	冬[ふゆ]	Noun, Adverb 							
春	spring, springtime	春[はる]	Noun, Adverb 	New Year; prime (of life), height (of one's prosperity), heyday; adolescence, puberty; sexuality, sexual desire						
花見	cherry blossom viewing, flower viewing	花見[はなみ]	Noun, Suru verb							
漢字	kanji, Chinese character	漢字[かんじ]	Noun							
送る	to take or escort (a person somewhere), to send (a thing)	送[おく]る	Godan verb with ru ending, Transitive verb	to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana						
怒る	to get angry, to get mad	怒[おこ]る	Godan verb with ru ending, Intransitive verb	to tell someone off, to scold; to be angular, to be square						
思い出す	to recall, to remember, to recollect	思[おも]い 出[だ]す	Godan verb with su ending, Transitive verb							
姉	older sister, elder sister	姉[あね]	Noun							
敬語	honorific language, honorific, term of respect, polite expression	敬語[けいご]	Noun							
話	talk, speech, chat, conversation	話[はなし]	Noun	topic, subject; discussions, negotiation, argument; rumor, talk, hearsay; tale, story, fable; circumstances, particulars						
生け花	ikebana, Japanese art of flower arrangement	生[い]け 花[ばな]	Noun	fresh flower, natural flower						
呼ぶ	to call out (to/one's name), to invite (e.g. personをeventに)	呼[よ]ぶ	Godan verb with bu ending, Transitive verb	to summon (a doctor, etc.); to invite; to designate, to name, to brand; to garner (support, etc.), to gather; to take as one's wife						
兄	older brother, elder brother	兄[あに]	Noun							
決まる	to be decided, to be settled, to be fixed, to be arranged	決[き]まる	Godan verb with ru ending, Intransitive verb	to be unchanging, to be the same (as always), to be fixed, to be set; to be a fixed rule, to be destined, to be a convention, to be a custom, to be common knowledge; to be well executed (of a manoeuvre in a sport, game, etc.), to go well, to succeed, to connect (of a punch); to look good (of clothing), to look sharp, to be stylish, to suit one, to be held in place (of a hairdo); to be struck and held (of a pose in kabuki)						
